Delta [slots]	Adversarial Stake [%/100]	Bound	Number of Blocks	Probability of Failure
0.01	0.150	LB	17    	7.433314537911213e-05
0.01	0.150	LB	18    	4.481170615572081e-05
0.01	0.150	LB	19    	2.702849151857773e-05
0.01	0.150	LB	20    	1.63093015743436e-05
0.01	0.150	LB	21    	9.844680911258879e-06
0.01	0.150	LB	22    	5.944232103102432e-06
0.01	0.150	LB	23    	3.590022974077043e-06
0.01	0.150	LB	24    	2.168648639562695e-06
0.01	0.150	LB	25    	1.31026069693213e-06
0.01	0.150	LB	26    	7.917556565424807e-07
0.01	0.150	LB	27    	4.784977070248641e-07
0.01	0.150	LB	28    	2.892115387217398e-07
0.01	0.150	LB	29    	1.74820182505618e-07
0.01	0.150	LB	30    	1.056822167524522e-07
0.01	0.150	LB	31    	6.389130095826035e-08
0.01	0.150	LB	32    	3.862841081004703e-08
0.01	0.150	LB	33    	2.335574291721282e-08
0.01	0.150	LB	34    	1.412209823544712e-08
0.01	0.150	LB	35    	8.539272404012544e-09
0.01	0.150	LB	36    	5.163644967020208e-09
0.01	0.150	LB	37    	3.122509917747474e-09
0.01	0.150	LB	38    	1.888259009293322e-09
0.01	0.150	LB	39    	1.14190020857982e-09
0.01	0.150	LB	40    	6.905614550243896e-10
0.01	0.150	UB	1     	0.4239225361131113
0.01	0.150	UB	2     	0.2013894441928551
0.01	0.150	UB	3     	0.1142531288333422
0.01	0.150	UB	4     	0.06541280143048396
0.01	0.150	UB	5     	0.03708290512609984
0.01	0.150	UB	6     	0.02147806829095342
0.01	0.150	UB	7     	0.0126495215619969
0.01	0.150	UB	8     	0.007484578816850855
0.01	0.150	UB	9     	0.004443178053428254
0.01	0.150	UB	10    	0.002648484608494086
0.01	0.150	UB	11    	0.001583502951750735
0.01	0.150	UB	12    	0.000948665523291722
0.01	0.150	UB	13    	0.0005692771752327476
0.01	0.150	UB	14    	0.0003420959231191113
0.01	0.150	UB	15    	0.0002058089906484102
0.01	0.150	UB	16    	0.00012392958768518
0.01	0.150	UB	17    	7.468100508726936e-05
0.01	0.150	UB	18    	4.503120788061786e-05
0.01	0.150	UB	19    	2.716677510245737e-05
0.01	0.150	UB	20    	1.639628880254764e-05
0.01	0.150	UB	21    	9.899324365558591e-06
0.01	0.150	UB	22    	5.978513519713037e-06
0.01	0.150	UB	23    	3.611503923034497e-06
0.01	0.150	UB	24    	2.182093451794625e-06
0.01	0.150	UB	25    	1.318666746187335e-06
0.01	0.150	UB	26    	7.970060489094122e-07
0.01	0.150	UB	27    	4.8177396983864e-07
0.01	0.150	UB	28    	2.912541013750698e-07
0.01	0.150	UB	29    	1.760925205577347e-07
0.01	0.150	UB	30    	1.064741331812868e-07
0.01	0.150	UB	31    	6.438382079272176e-08
0.01	0.150	UB	32    	3.89345029549841e-08
0.01	0.150	UB	33    	2.354584204582137e-08
0.01	0.150	UB	34    	1.424008190152953e-08
0.01	0.150	UB	35    	8.612452140258685e-09
0.01	0.150	UB	36    	5.209007727577391e-09
0.01	0.150	UB	37    	3.150613357243003e-09
0.01	0.150	UB	38    	1.905660312519668e-09
0.01	0.150	UB	39    	1.152669239566115e-09
0.01	0.150	UB	40    	6.972226730683632e-10
0.01	0.175	LB	1     	0.4879477120849523
0.01	0.175	LB	2     	0.2634009796629355
0.01	0.175	LB	3     	0.1633767214526227
0.01	0.175	LB	4     	0.102775591714312
0.01	0.175	LB	5     	0.06444257597332799
0.01	0.175	LB	6     	0.04106505144186848
0.01	0.175	LB	7     	0.02652550047854981
0.01	0.175	LB	8     	0.01722893028215631
0.01	0.175	LB	9     	0.01123228831075664
0.01	0.175	LB	10    	0.007350161578633485
0.01	0.175	LB	11    	0.004824011958596894
0.01	0.175	LB	12    	0.003172927631449959
0.01	0.175	LB	13    	0.002090609383536556
0.01	0.175	LB	14    	0.001379517568676706
0.01	0.175	LB	15    	0.0009114065880108887
0.01	0.175	LB	16    	0.0006027464781705532
0.01	0.175	LB	17    	0.0003989537449939901
0.01	0.175	LB	18    	0.0002642514123035249
0.01	0.175	LB	19    	0.0001751339493328533
0.01	0.175	LB	20    	0.0001161292040140014
0.01	0.175	LB	21    	7.703668686703806e-05
0.01	0.175	LB	22    	5.112241898749167e-05
0.01	0.175	LB	23    	3.393594860741614e-05
0.01	0.175	LB	24    	2.253327148044056e-05
0.01	0.175	LB	25    	1.496539061004702e-05
0.01	0.175	LB	26    	9.941176794769735e-06
0.01	0.175	LB	27    	6.604833926618374e-06
0.01	0.175	LB	28    	4.388847653253711e-06
0.01	0.175	LB	29    	2.916722869073754e-06
0.01	0.175	LB	30    	1.938601921315213e-06
0.01	0.175	LB	31    	1.288619454511761e-06
0.01	0.175	LB	32    	8.566391474039652e-07
0.01	0.175	LB	33    	5.695130513230236e-07
0.01	0.175	LB	34    	3.786499771082993e-07
0.01	0.175	LB	35    	2.517660499757819e-07
0.01	0.175	LB	36    	1.674088117507496e-07
0.01	0.175	LB	37    	1.113214112240731e-07
0.01	0.175	LB	38    	7.40279957339745e-08
0.01	0.175	LB	39    	4.922980539938456e-08
0.01	0.175	LB	40    	3.273959269218738e-08
0.01	0.175	UB	1     	0.4882484897783257
0.01	0.175	UB	2     	0.2636489297498401
0.01	0.175	UB	3     	0.1635579981079907
0.01	0.175	UB	4     	0.1029066947098894
0.01	0.175	UB	5     	0.06453986147869746
0.01	0.175	UB	6     	0.04113631721152598
0.01	0.175	UB	7     	0.02657652036664496
0.01	0.175	UB	8     	0.01726516739138498
0.01	0.175	UB	9     	0.01125796994924443
0.01	0.175	UB	10    	0.007368291989365316
0.01	0.175	UB	11    	0.004836760380716415
0.01	0.175	UB	12    	0.003181866048522593
0.01	0.175	UB	13    	0.002096861612912765
0.01	0.175	UB	14    	0.001383880881080641
0.01	0.175	UB	15    	0.0009144451820567774
0.01	0.175	UB	16    	0.0006048584741372874
0.01	0.175	UB	17    	0.0004004191222918705
0.01	0.175	UB	18    	0.0002652664937825384
0.01	0.175	UB	19    	0.0001758360542420426
0.01	0.175	UB	20    	0.0001166141598593042
0.01	0.175	UB	21    	7.73712242022975e-05
0.01	0.175	UB	22    	5.135291688320279e-05
0.01	0.175	UB	23    	3.409458500554555e-05
0.01	0.175	UB	24    	2.264233566745458e-05
0.01	0.175	UB	25    	1.504029923846329e-05
0.01	0.175	UB	26    	9.992578347350888e-06
0.01	0.175	UB	27    	6.640074061266968e-06
0.01	0.175	UB	28    	4.41298759314145e-06
0.01	0.175	UB	29    	2.933245944068805e-06
0.01	0.175	UB	30    	1.949902975745226e-06
0.01	0.175	UB	31    	1.296343352522907e-06
0.01	0.175	UB	32    	8.619145850239994e-07
0.01	0.175	UB	33    	5.731138491997602e-07
0.01	0.175	UB	34    	3.811062139434248e-07
0.01	0.175	UB	35    	2.534405496944344e-07
0.01	0.175	UB	36    	1.685497301314189e-07
0.01	0.175	UB	37    	1.120983545377866e-07
0.01	0.175	UB	38    	7.455680528504708e-08
0.01	0.175	UB	39    	4.95895495850919e-08
0.01	0.175	UB	40    	3.298420684964833e-08
0.01	0.200	LB	1     	0.5500749854606871
0.01	0.200	LB	2     	0.3304943172800893
